"";"Banque";"Indicateur";"Terme";"Num_Terme";"Annee";"Rubrique";"Information";"Montant"
"133";"ATB";"Activite";"Trimestre";3;2021;"CH1";"Arrete_Actuel";221799
"134";"ATB";"Activite";"Trimestre";3;2021;"CH1";"Arrete_Reference";268165
"135";"ATB";"Activite";"Trimestre";3;2021;"CH1";"Annee_Reference";346623
"136";"ATB";"Activite";"Trimestre";3;2021;"CH2";"Trimestre_Actuel";3283
"137";"ATB";"Activite";"Trimestre";3;2021;"CH2";"Trimestre_Reference";2817
"138";"ATB";"Activite";"Trimestre";3;2021;"CH2";"Arrete_Actuel";9636
"139";"ATB";"Activite";"Trimestre";3;2021;"CH2";"Arrete_Reference";8112
"140";"ATB";"Activite";"Trimestre";3;2021;"CH2";"Annee_Reference";10882
"141";"ATB";"Activite";"Trimestre";3;2021;"PNB";"Trimestre_Actuel";76966
"142";"ATB";"Activite";"Trimestre";3;2021;"PNB";"Trimestre_Reference";62261
"143";"ATB";"Activite";"Trimestre";3;2021;"PNB";"Arrete_Actuel";206392
"144";"ATB";"Activite";"Trimestre";3;2021;"PNB";"Arrete_Reference";195220
"145";"ATB";"Activite";"Trimestre";3;2021;"PNB";"Annee_Reference";262023
"146";"ATB";"Activite";"Trimestre";3;2021;"PR7";"Trimestre_Actuel";36
"147";"ATB";"Activite";"Trimestre";3;2021;"PR7";"Trimestre_Reference";2
"148";"ATB";"Activite";"Trimestre";3;2021;"PR7";"Arrete_Actuel";101
"149";"ATB";"Activite";"Trimestre";3;2021;"PR7";"Arrete_Reference";91
"150";"ATB";"Activite";"Trimestre";3;2021;"PR7";"Annee_Reference";120
"151";"ATB";"Activite";"Trimestre";3;2021;"CH6_7";"Trimestre_Actuel";50887
"152";"ATB";"Activite";"Trimestre";3;2021;"CH6_7";"Trimestre_Reference";43744
"153";"ATB";"Activite";"Trimestre";3;2021;"CH6_7";"Arrete_Actuel";146705
"154";"ATB";"Activite";"Trimestre";3;2021;"CH6_7";"Arrete_Reference";138183
"155";"ATB";"Activite";"Trimestre";3;2021;"CH6_7";"Annee_Reference";182516
"156";"ATB";"Activite";"Trimestre";3;2021;"CH6";"Trimestre_Actuel";28677
"157";"ATB";"Activite";"Trimestre";3;2021;"CH6";"Trimestre_Reference";24752
"158";"ATB";"Activite";"Trimestre";3;2021;"CH6";"Arrete_Actuel";85437
"159";"ATB";"Activite";"Trimestre";3;2021;"CH6";"Arrete_Reference";79223
"160";"ATB";"Activite";"Trimestre";3;2021;"CH6";"Annee_Reference";105159
"161";"ATB";"Activite";"Trimestre";3;2021;"CH7";"Trimestre_Actuel";17911
"162";"ATB";"Activite";"Trimestre";3;2021;"CH7";"Trimestre_Reference";15206
"163";"ATB";"Activite";"Trimestre";3;2021;"CH7";"Arrete_Actuel";49458
