Banque;Indicateur;Terme;Num_Terme;Annee;Rubrique;Information;Montant
AB;Bilan;Semestre;1;2010;PA3;Arrete_Actuel;3519531
AB;Bilan;Semestre;1;2010;PA3;Arrete_Reference;2832474
AB;Bilan;Semestre;1;2010;PA4;Annee_Reference;374580
AB;Bilan;Semestre;1;2010;PA4;Arrete_Actuel;368179
AB;Bilan;Semestre;1;2010;PA4;Arrete_Reference;299457
AB;Bilan;Semestre;1;2010;PA5;Annee_Reference;104452
AB;Bilan;Semestre;1;2010;PA5;Arrete_Actuel;113545
AB;Bilan;Semestre;1;2010;PA5;Arrete_Reference;92174
AB;Bilan;Semestre;1;2010;PAS;Annee_Reference;3691581
AB;Bilan;Semestre;1;2010;PAS;Arrete_Actuel;4258317
AB;Bilan;Semestre;1;2010;PAS;Arrete_Reference;3310766
AB;Bilan;Semestre;1;2011;AC1;Annee_Reference;185514
AB;Bilan;Semestre;1;2011;AC1;Arrete_Actuel;267825
AB;Bilan;Semestre;1;2011;AC1;Arrete_Reference;269978
AB;Bilan;Semestre;1;2011;AC2;Annee_Reference;173291
AB;Bilan;Semestre;1;2011;AC2;Arrete_Actuel;186373
AB;Bilan;Semestre;1;2011;AC2;Arrete_Reference;184003
AB;Bilan;Semestre;1;2011;AC3;Annee_Reference;3714109
AB;Bilan;Semestre;1;2011;AC3;Arrete_Actuel;3992547
AB;Bilan;Semestre;1;2011;AC3;Arrete_Reference;3440137
AB;Bilan;Semestre;1;2011;AC4;Annee_Reference;144292
AB;Bilan;Semestre;1;2011;AC4;Arrete_Actuel;147788
AB;Bilan;Semestre;1;2011;AC4;Arrete_Reference;148304
AB;Bilan;Semestre;1;2011;AC5;Annee_Reference;433464
AB;Bilan;Semestre;1;2011;AC5;Arrete_Actuel;438335
AB;Bilan;Semestre;1;2011;AC5;Arrete_Reference;422265
AB;Bilan;Semestre;1;2011;AC6;Annee_Reference;101382
AB;Bilan;Semestre;1;2011;AC6;Arrete_Actuel;105807
AB;Bilan;Semestre;1;2011;AC6;Arrete_Reference;107579
AB;Bilan;Semestre;1;2011;AC7;Annee_Reference;54914
AB;Bilan;Semestre;1;2011;AC7;Arrete_Actuel;110454
AB;Bilan;Semestre;1;2011;AC7;Arrete_Reference;50704
AB;Bilan;Semestre;1;2011;ACT;Annee_Reference;4806966
AB;Bilan;Semestre;1;2011;ACT;Arrete_Actuel;5249129
AB;Bilan;Semestre;1;2011;ACT;Arrete_Reference;4622970
AB;Bilan;Semestre;1;2011;CAP;Annee_Reference;391800
AB;Bilan;Semestre;1;2011;CAP;Arrete_Actuel;408497
AB;Bilan;Semestre;1;2011;CAP;Arrete_Reference;359962
AB;Bilan;Semestre;1;2011;CP1;Annee_Reference;1,00E+05
AB;Bilan;Semestre;1;2011;CP1;Arrete_Actuel;1,00E+05
AB;Bilan;Semestre;1;2011;CP1;Arrete_Reference;1,00E+05
AB;Bilan;Semestre;1;2011;CP2;Annee_Reference;229973
AB;Bilan;Semestre;1;2011;CP2;Arrete_Actuel;277255
AB;Bilan;Semestre;1;2011;CP2;Arrete_Reference;229936
AB;Bilan;Semestre;1;2011;CP3;Annee_Reference;NA
AB;Bilan;Semestre;1;2011;CP3;Arrete_Actuel;NA
AB;Bilan;Semestre;1;2011;CP3;Arrete_Reference;NA
AB;Bilan;Semestre;1;2011;CP4;Annee_Reference;423
AB;Bilan;Semestre;1;2011;CP4;Arrete_Actuel;423
AB;Bilan;Semestre;1;2011;CP4;Arrete_Reference;423
AB;Bilan;Semestre;1;2011;CP5;Annee_Reference;1
AB;Bilan;Semestre;1;2011;CP5;Arrete_Actuel;1
AB;Bilan;Semestre;1;2011;CP5;Arrete_Reference;1
AB;Bilan;Semestre;1;2011;CP6;Annee_Reference;61403
AB;Bilan;Semestre;1;2011;CP6;Arrete_Actuel;30818
AB;Bilan;Semestre;1;2011;CP6;Arrete_Reference;29602
AB;Bilan;Semestre;1;2011;CP7;Annee_Reference;NA
AB;Bilan;Semestre;1;2011;CP7;Arrete_Actuel;NA
AB;Bilan;Semestre;1;2011;CP7;Arrete_Reference;NA
AB;Bilan;Semestre;1;2011;CPP;Annee_Reference;4806966
AB;Bilan;Semestre;1;2011;CPP;Arrete_Actuel;5249129
AB;Bilan;Semestre;1;2011;CPP;Arrete_Reference;4622970
AB;Bilan;Semestre;1;2011;PA1;Annee_Reference;85121
AB;Bilan;Semestre;1;2011;PA1;Arrete_Actuel;378789
AB;Bilan;Semestre;1;2011;PA1;Arrete_Reference;65017
AB;Bilan;Semestre;1;2011;PA2;Annee_Reference;223481
AB;Bilan;Semestre;1;2011;PA2;Arrete_Actuel;144301
AB;Bilan;Semestre;1;2011;PA2;Arrete_Reference;192045
AB;Bilan;Semestre;1;2011;PA3;Annee_Reference;3497715
AB;Bilan;Semestre;1;2011;PA3;Arrete_Actuel;3632837
AB;Bilan;Semestre;1;2011;PA3;Arrete_Reference;3522552
AB;Bilan;Semestre;1;2011;PA4;Annee_Reference;489311
AB;Bilan;Semestre;1;2011;PA4;Arrete_Actuel;493182
AB;Bilan;Semestre;1;2011;PA4;Arrete_Reference;368179
AB;Bilan;Semestre;1;2011;PA5;Annee_Reference;119538
AB;Bilan;Semestre;1;2011;PA5;Arrete_Actuel;191523
AB;Bilan;Semestre;1;2011;PA5;Arrete_Reference;115215
AB;Bilan;Semestre;1;2011;PAS;Annee_Reference;4415166
AB;Bilan;Semestre;1;2011;PAS;Arrete_Actuel;4840632
AB;Bilan;Semestre;1;2011;PAS;Arrete_Reference;4263008
AB;Bilan;Semestre;1;2012;AC1;Annee_Reference;150593
AB;Bilan;Semestre;1;2012;AC1;Arrete_Actuel;192845
AB;Bilan;Semestre;1;2012;AC1;Arrete_Reference;267825
AB;Bilan;Semestre;1;2012;AC2;Annee_Reference;263939
AB;Bilan;Semestre;1;2012;AC2;Arrete_Actuel;277971
AB;Bilan;Semestre;1;2012;AC2;Arrete_Reference;186373
